aargang,foedselsaar,koen,postnr,støtte_rv_2019,støtte_rv_2021
2021,1999,Mand,2100,0,0
2021,1999,Kvinde,1452,1,1
2021,1997,Kvinde,2100,0,0
2021,1996,Kvinde,1322,0,0
2021,2000,Kvinde,2450,1,1
2021,2000,Mand,2100,0,0
2021,1999,Kvinde,2100,1,0
2021,1995,Mand,2200,1,0
2021,2000,Mand,2760,1,0
2021,1998,Kvinde,2200,1,0
2021,1999,Kvinde,2400,1,0
2021,2000,Kvinde,2100,0,0
2021,1998,Kvinde,2100,0,0
2021,2000,Kvinde,2100,0,0
2021,1999,Kvinde,1354,1,0
2021,1998,Kvinde,2300,0,0
2021,2000,Kvinde,2200,1,1
2021,1997,Kvinde,2300,1,0
2021,2000,Mand,4550,0,0
2021,1999,Mand,2900,0,0
2021,1998,Kvinde,1264,0,0
2021,1998,Kvinde,1455,0,0
2021,1999,Kvinde,2300,0,1
2021,1997,Mand,4174,0,0
2021,1974,Mand,2400,0,0
2021,2000,Kvinde,2000,1,1
2021,1999,Kvinde,2100,1,0
2021,2000,Mand,2760,1,1
2021,1997,Mand,2450,0,0
2021,2000,Kvinde,2300,0,0
2021,2000,Mand,2500,0,0
2021,1999,Mand,2300,0,0
2021,1999,Kvinde,1354,1,0
2021,1998,Mand,2200,1,0
2021,1995,Mand,1352,1,0
2021,2000,Kvinde,2100,0,0
2021,1999,Kvinde,2300,0,0
2021,1998,Mand,1173,0,0
2021,1996,Mand,2400,0,1
2021,1999,Kvinde,2200,0,0
2021,1999,Mand,2720,0,0
2021,2000,Kvinde,2300,0,1
2021,1999,Kvinde,2900,0,0
2021,1999,Kvinde,2500,1,0
2021,1977,Kvinde,2605,1,0
2021,1999,Mand,2450,0,0
2021,1998,Mand,2300,0,0
2021,1999,Kvinde,1432,0,0
2021,1987,Mand,4000,0,0
2021,1996,Mand,2500,0,0
2021,1998,Kvinde,2300,1,0
2021,1997,Kvinde,2300,0,0
2021,1999,Mand,2000,1,1
2021,1996,Kvinde,2200,0,0
2021,1999,Mand,2100,1,0
2021,2000,Kvinde,2450,1,1
2021,2004,Mand,2300,0,0
2021,1999,Mand,2300,1,0
2021,1999,Kvinde,2000,0,0
2021,1999,Kvinde,2300,0,0
2021,1998,Kvinde,2400,0,0
2021,1998,NA,2720,1,0
2021,1994,Mand,2000,0,0
2021,2000,Kvinde,2200,0,0
2021,1998,Mand,2000,0,0
2021,1992,Mand,2820,0,0
2021,1994,Kvinde,1961,0,0
2021,1999,Kvinde,2450,1,1
2021,2001,Mand,2300,0,0
2021,1999,Kvinde,1958,0,0
2021,2001,Kvinde,2670,0,0
2021,1999,Mand,2500,0,0
2021,1996,Mand,1902,0,0
2021,1997,Mand,4070,0,1
2021,1996,Mand,2400,1,1
2021,2000,Kvinde,2960,1,0
2021,1999,Mand,2400,0,1
2021,1999,Kvinde,2400,1,0
2021,1997,Mand,2400,0,0
2021,1994,Kvinde,2300,1,1
2021,1998,Mand,2500,1,0
2021,1999,Kvinde,2000,1,1
2021,1992,Kvinde,2450,1,0
2021,1999,Mand,2300,0,0
2021,1998,Mand,2000,0,0
2021,1991,Mand,2770,0,0
2021,1994,Kvinde,2200,1,1
