Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Stemmeberettigede,GyldigeStemmer
326014,326014,38,5,2,1249,901
326015,326015,38,5,2,2661,1884
326016,326016,38,5,2,3377,2479
326017,326017,38,5,2,665,502
326018,326018,38,5,2,3131,1994
329001,329001,39,5,2,7972,5371
329002,329002,39,5,2,616,469
329003,329003,39,5,2,588,452
329004,329004,39,5,2,3837,2806
329005,329005,39,5,2,994,752
329006,329006,39,5,2,4356,2887
329008,329008,39,5,2,1081,859
329009,329009,39,5,2,979,738
329010,329010,39,5,2,984,776
329011,329011,39,5,2,534,418
329012,329012,39,5,2,844,643
329013,329013,39,5,2,1011,754
329014,329014,39,5,2,677,520
330001,330001,40,5,2,1398,1017
330002,330002,40,5,2,966,724
330003,330003,40,5,2,1250,921
330004,330004,40,5,2,1422,1045
330005,330005,40,5,2,5905,4163
330006,330006,40,5,2,5553,3545
330007,330007,40,5,2,1888,1462
330008,330008,40,5,2,2568,1900
330009,330009,40,5,2,4864,3184
330010,330010,40,5,2,1304,1026
330011,330011,40,5,2,2914,2096
330012,330012,40,5,2,155,118
330013,330013,40,5,2,1064,797
330014,330014,40,5,2,468,366
330015,330015,40,5,2,2145,1493
330016,330016,40,5,2,379,273
330017,330017,40,5,2,140,102
330018,330018,40,5,2,582,444
330019,330019,40,5,2,5408,3124
330020,330020,40,5,2,4197,2901
330021,330021,40,5,2,4900,3512
330022,330022,40,5,2,5939,3651
330024,330024,40,5,2,1037,767
330025,330025,40,5,2,1989,1544
330026,330026,40,5,2,441,349
336001,336001,33,5,2,4289,3149
336002,336002,33,5,2,5261,3979
336003,336003,33,5,2,4502,3244
336004,336004,33,5,2,2957,2248
340001,340001,39,5,2,4417,2981
340002,340002,39,5,2,1509,1072
340004,340004,39,5,2,1442,1049
340005,340005,39,5,2,4060,2953
340006,340006,39,5,2,3524,2731
340008,340008,39,5,2,3001,2152
340010,340010,39,5,2,4240,2943
350001,350001,34,5,2,2945,2241
350002,350002,34,5,2,1929,1462
350003,350003,34,5,2,1267,996
350004,350004,34,5,2,1117,869
350005,350005,34,5,2,953,729
350006,350006,34,5,2,3320,2560
350008,350008,34,5,2,2192,1736
350009,350009,34,5,2,2138,1720
350011,350011,34,5,2,1894,1534
350012,350012,34,5,2,2324,1761
360001,360001,29,5,2,641,483
360003,360003,29,5,2,2073,1435
360008,360008,29,5,2,792,562
360011,360011,29,5,2,1714,1212
360013,360013,29,5,2,5238,3671
360014,360014,29,5,2,44,40
360019,360019,29,5,2,2678,1883
360020,360020,29,5,2,6824,4415
360021,360021,29,5,2,4257,2900
360026,360026,29,5,2,425,299
360027,360027,29,5,2,355,284
360028,360028,29,5,2,112,98
360029,360029,29,5,2,1848,1211
360035,360035,29,5,2,2251,1548
360036,360036,29,5,2,2959,2007
360037,360037,29,5,2,1343,818
370001,370001,32,5,2,3394,2382
370002,370002,32,5,2,809,613
370003,370003,32,5,2,1612,1121
370004,370004,32,5,2,1907,1433
370005,370005,32,5,2,734,585
370006,370006,32,5,2,1981,1459
370007,370007,32,5,2,1261,925
370008,370008,32,5,2,3684,2738
370009,370009,32,5,2,1098,878
370010,370010,32,5,2,1287,929
370011,370011,32,5,2,2416,1919
370012,370012,32,5,2,421,322
370013,370013,32,5,2,514,389
370014,370014,32,5,2,2495,1811
370020,370020,32,5,2,3642,2588
370021,370021,32,5,2,3088,1940
370022,370022,32,5,2,4340,2650
370023,370023,32,5,2,4667,3253
370024,370024,32,5,2,5027,3526
370025,370025,32,5,2,2764,1921
370026,370026,32,5,2,2634,2003
370027,370027,32,5,2,4369,2927
370028,370028,32,5,2,3622,2376
370029,370029,32,5,2,655,508
370031,370031,32,5,2,1479,1059
370032,370032,32,5,2,2046,1627
376001,376001,30,5,2,3707,2250
376002,376002,30,5,2,3195,2208
376003,376003,30,5,2,2870,1930
376004,376004,30,5,2,3384,2343
376005,376005,30,5,2,2075,1572
376006,376006,30,5,2,1510,1090
376007,376007,30,5,2,2658,2019
376008,376008,30,5,2,2450,1747
376009,376009,30,5,2,1366,1013
376010,376010,30,5,2,2522,1780
376011,376011,30,5,2,1842,1328
376012,376012,30,5,2,2105,1510
376013,376013,30,5,2,4628,3098
376014,376014,30,5,2,1343,975
376015,376015,30,5,2,952,657
376016,376016,30,5,2,3046,2218
376017,376017,30,5,2,2484,1810
376018,376018,30,5,2,1582,1176
376019,376019,30,5,2,2793,2159
376020,376020,30,5,2,1155,856
390001,390001,31,5,2,4294,2990
390002,390002,31,5,2,3237,2328
390003,390003,31,5,2,2256,1706
390004,390004,31,5,2,2072,1467
390005,390005,31,5,2,930,688
390006,390006,31,5,2,2953,2090
390007,390007,31,5,2,1595,1204
390008,390008,31,5,2,4444,3236
390009,390009,31,5,2,1328,984
390010,390010,31,5,2,1819,1379
390011,390011,31,5,2,890,712
390012,390012,31,5,2,3346,2437
390013,390013,31,5,2,922,705
390014,390014,31,5,2,620,485
390015,390015,31,5,2,1465,1108
390016,390016,31,5,2,1703,1296
390017,390017,31,5,2,1544,1141
400001,400001,28,4,1,2788,1934
400002,400002,28,4,1,2333,1645
400003,400003,28,4,1,1692,1282
400004,400004,28,4,1,3543,2330
400005,400005,28,4,1,1327,968
400006,400006,28,4,1,4229,2941
400007,400007,27,4,1,1967,1378
400008,400008,27,4,1,11154,7521
400009,400009,27,4,1,2254,1658
410001,410001,45,6,2,5114,3732
410002,410002,45,6,2,5063,3825
410003,410003,45,6,2,3356,2700
410004,410004,45,6,2,1970,1427
410005,410005,45,6,2,1055,776
410006,410006,45,6,2,2787,2001
410007,410007,45,6,2,1459,1114
410008,410008,45,6,2,2254,1635
410009,410009,45,6,2,2054,1468
410010,410010,45,6,2,1987,1470
410011,410011,45,6,2,1258,927
411001,411001,28,4,1,63,52
420001,420001,44,6,2,5371,3748
420002,420002,44,6,2,1317,971
420003,420003,44,6,2,660,518
420004,420004,44,6,2,689,528
420005,420005,44,6,2,188,160
420007,420007,44,6,2,743,567
420008,420008,44,6,2,1964,1471
420009,420009,44,6,2,834,629
420010,420010,44,6,2,379,282
420011,420011,44,6,2,410,292
420012,420012,44,6,2,638,511
420013,420013,44,6,2,2579,1898
420014,420014,44,6,2,526,390
420015,420015,44,6,2,1280,998
420016,420016,44,6,2,1479,1094
420017,420017,44,6,2,1799,1360
420018,420018,44,6,2,881,656
420019,420019,44,6,2,377,291
420020,420020,44,6,2,4506,3337
420021,420021,44,6,2,2571,1860
420022,420022,44,6,2,524,411
420023,420023,44,6,2,595,472
420024,420024,44,6,2,600,448
